,Codigo,Nombre,Unidad,CodigobyCodigo,TitlebyCodigo
392,BB20X30T-150,BOLSA 20X30 CM TRANSPARENTE CAL.150,KG,BB20X30T-150,BOLSA 20X30 CM TRANSPARENTE CAL.150
20,BR195X240T-180,BOLSA 163+16+16X240 TRANSPARENTE ANTIDERRAPANTE CAL180,PZA,BR195X240T-180,BOLSA 163+16+16X240 TRANSPARENTE ANTIDERRAPANTE CAL180
4718,BB15X20T-150,BOLSA 15X20CM TRANSPARENTE CAL.150,KG,BB20X30T-150,BOLSA 20X30 CM TRANSPARENTE CAL.150
861,BB15X20TC,BOLSA 15X20 CM TRANSPARENTE MILLARES,MIL,BB15X20TC,BOLSA 15X20 CM TRANSPARENTE MILLARES
19,BR175X227T-180,BOLSA 143+16+16X227 TRANSPARENTE ANTIDERRAPANTE CAL180,PZA,BR175X227T-180,BOLSA 143+16+16X227 TRANSPARENTE ANTIDERRAPANTE CAL180
1107,BR244X244T,BOLSA 132+112X244 CM TRANSPARENTE CAL.100 C/100 PIEZA,ROL,BR244X244T,BOLSA 132+112X244 CM TRANSPARENTE CAL.100 C/100 PIEZA
7262,BB120X150T,BOLSA 120X150CM CLEAR CAL.200,KG,BB15X20TC,BOLSA 15X20 CM TRANSPARENTE MILLARES
860,BB10X15TC,BOLSA 10X15 CM TRANSPARENTE MILLARES,MIL,BB10X15TC,BOLSA 10X15 CM TRANSPARENTE MILLARES
133,BB10X15,BOLSA 10X15 CM TRANSPARENTE CAL.150,KG,BB10X15,BOLSA 10X15 CM TRANSPARENTE CAL.150
1250,BB10X12-150,BOLSA 10X12 PULGADAS TRANSPARENTE CAL.150 C/1000 PZ,CAJ,BB10X12-150,BOLSA 10X12 PULGADAS TRANSPARENTE CAL.150 C/1000 PZ
18,BR138X220T-180,BOLSA 106+16+16X220 TRANSPARENTE ANTIDERRAPANTE CAL180,PZA,BR138X220T-180,BOLSA 106+16+16X220 TRANSPARENTE ANTIDERRAPANTE CAL180
17,BR132X220T-180,BOLSA 106+13+13X220 TRANSPARENTE ANTIDERRAPANTE CAL180,PZA,BR138X220T-180,BOLSA 106+16+16X220 TRANSPARENTE ANTIDERRAPANTE CAL180
723,H150-FR,BEBIDA HIDRATANTE EN POLVO PARA 20 LITROS SABOR FRUTAS,PZA,H150-FR,BEBIDA HIDRATANTE EN POLVO PARA 20 LITROS SABOR FRUTAS
2477,00-9110NP-XL,BATA MICROPOROSA BLANCA SIN BOLSA XL C/30 PIEZAS,CAJ,00-9110NP-XL,BATA MICROPOROSA BLANCA SIN BOLSA XL C/30 PIEZAS
10218,00-9100NP-XL,BATA DE POLIPROPILENO BLANCA SIN BOLSA XL C/30 PIEZAS,CAJ,00-9110NP-XL,BATA MICROPOROSA BLANCA SIN BOLSA XL C/30 PIEZAS
10217,00-9100NP-M,BATA DE POLIPROPILENO BLANCA SIN BOLSA M C/30 PIEZAS,CAJ,00-9110NP-M,BATA MICROPOROSA BLANCA SIN BOLSA M C/30 PIEZAS
4553,LZ01003B-XL,BATA BLANCA TIPO LAB ANTIESTATICA TALLA XL,NaN,LZ01003B-XL,BATA BLANCA TIPO LAB ANTIESTATICA TALLA XL
2342,LZ01003B-S,BATA BLANCA TIPO LAB ANTIESTATICA TALLA S,PZA,LZ01003B-S,BATA BLANCA TIPO LAB ANTIESTATICA TALLA S
2341,LZ01003B-M,BATA BLANCA TIPO LAB ANTIESTATICA TALLA M,PZA,LZ01003B-M,BATA BLANCA TIPO LAB ANTIESTATICA TALLA M
2340,LZ01003B-L,BATA BLANCA TIPO LAB ANTIESTATICA TALLA L,PZA,LZ01003B-L,BATA BLANCA TIPO LAB ANTIESTATICA TALLA L
4549,LZ01003B-5XL,BATA BLANCA TIPO LAB ANTIESTATICA TALLA 5XL,PZA,LZ01003B-5XL,BATA BLANCA TIPO LAB ANTIESTATICA TALLA 5XL
4548,LZ01003B-3XL,BATA BLANCA TIPO LAB ANTIESTATICA TALLA 3XL,PZA,LZ01003B-XL,BATA BLANCA TIPO LAB ANTIESTATICA TALLA XL
4547,LZ01003B-2XL,BATA BLANCA TIPO LAB ANTIESTATICA TALLA 2XL,PZA,LZ01003B-2XL,BATA BLANCA TIPO LAB ANTIESTATICA TALLA 2XL
3976,LZ01003AZ-XL,BATA ANTIESTATICA TIPO LAB AZUL MARINO TALLA XL,PZA,LZ01003AZ-XL,BATA ANTIESTATICA TIPO LAB AZUL MARINO TALLA XL
5614,LZ01003AZC-XL,BATA ANTIESTATICA AZUL CIELO XL,PZA,LZ01003AZC-XL,BATA ANTIESTATICA AZUL CIELO XL
5613,LZ01003AZC-L,BATA ANTIESTATICA AZUL CIELO L,PZA,LZ01003AZC-L,BATA ANTIESTATICA AZUL CIELO L
11329,LZ01003AZ-S,BATA ANTI ESTATICA TIPO LAB AZUL MARINO TALLA S,PZA,LZ01003AZ-S,BATA ANTI ESTATICA TIPO LAB AZUL MARINO TALLA S
5458,LZ01003AZ-M,BATA ANTI ESTATICA TIPO LAB AZUL MARINO TALLA M,PZA,LZ01003AZ-M,BATA ANTI ESTATICA TIPO LAB AZUL MARINO TALLA M
3975,LZ01003AZ-L,BATA ANTI ESTATICA TIPO LAB AZUL MARINO TALLA L,PZA,LZ01003AZ-L,BATA ANTI ESTATICA TIPO LAB AZUL MARINO TALLA L
5456,LZ01003AZ-3XL,BATA ANTI ESTATICA TIPO LAB AZUL MARINO TALLA 3XL,PZA,LZ01003AZ-XL,BATA ANTIESTATICA TIPO LAB AZUL MARINO TALLA XL
3974,LZ01003AZ-2XL,BATA ANTI ESTATICA TIPO LAB AZUL MARINO TALLA 2XL,PZA,LZ01003AZ-2XL,BATA ANTI ESTATICA TIPO LAB AZUL MARINO TALLA 2XL
6204,LZ01003AZCL-XL,BATA ANTI ESTATICA TIPO LAB AZUL CIELO TALLA XL,PZA,LZ01003AZC-XL,BATA ANTIESTATICA AZUL CIELO XL
11327,LZ01003AZCL-S,BATA ANTI ESTATICA TIPO LAB AZUL CIELO TALLA S,PZA,LZ01003AZCL-S,BATA ANTI ESTATICA TIPO LAB AZUL CIELO TALLA S
9486,LZ01003AZCL-M,BATA ANTI ESTATICA TIPO LAB AZUL CIELO TALLA M,PZA,LZ01003AZCL-M,BATA ANTI ESTATICA TIPO LAB AZUL CIELO TALLA M
9485,LZ01003AZCL-L,BATA ANTI ESTATICA TIPO LAB AZUL CIELO TALLA L,PZA,LZ01003AZC-L,BATA ANTIESTATICA AZUL CIELO L
599,LIM016,BASTON INSTITUCIONAL DE PLASTICO,PZA,LIM016,BASTON INSTITUCIONAL DE PLASTICO
215,LIM015,BASTON DE ROSCA METALICA DELGADO 1.5 M,PZA,LIM051,PANO DE MICROFIBRA AZUL
214,LIM014,BASTON CLIP ON,PZA,LIM104,SERVILLETA TIPO RESTAURANT C/500 PIEZAS
6897,BLC-17,BARRA DE PALANCA 17PUNTA CURVA,PZA,BLC-17,BARRA DE PALANCA 17  PUNTA CURVA
2143,12338,BARBOQUEJO PARA CASCO DE SEG INDUSTRIAL C/ BARBILLA,PZA,12338,BARBOQUEJO PARA CASCO DE SEG INDUSTRIAL C/ BARBILLA
1202,AZK-2020,AZUCAR ZULKA 1KG,PZA,AZK-2020,AZUCAR ZULKA 1KG
6931,RD- WD1680,ASPIRADORA ELECTRICA DE LIMPIEZA EN SECO Y MOJADO 120 VOLTS,PZA,RD- WD1680,ASPIRADORA ELECTRICA DE LIMPIEZA EN SECO Y MOJADO 120 VOLTS
208,ASE-ROJ-20,ASERRIN ROJO DE 20 LBS,BOL,ASE-ROJ-20,ASERRIN ROJO DE 20 LBS
573,ASE-NAT-25,ASERRIN NATURAL 20 LBS,BOL,ASE-NAT-25,ASERRIN NATURAL 20 LBS
86,LIM086,AROMATIZANTE WIESE 400 ML,PZA,LIM068,REPUESTO P/ MOPA 60 CM BLANCO
839,LIM054,ARO 90 CM,PZA,LIM045,TOALLA DESINFECTANTE CLOROX C/85 PC
226,LIM053,ARO 60 CM,PZA,LIM035,PASTILLA AROMATIZANTE WIESE
10866,PA-33,ARNES,PZA,PA-33,ARNES
1090,0-1459,ALMOHADILLA GRIS FINO 0.52MMX0.029MM C/10 PIEZA,CAJ,0-1459,ALMOHADILLA GRIS FINO 0.52MMX0.029MM C/10 PIEZA
164,LIMALC01,ALCOHOL ISOPROPILICO 3.78LTS,GAL,LIMALC01,ALCOHOL ISOPROPILICO 3.78LTS
8418,LIMALC03,ALCOHOL ISOPROPILICO 19 LTS,BID,LIMACE03,ACEITE PARA MOPA DUST MOP CEREZA 20 LTS
3366,LIMALC02,ALCOHOL ETILICO,GAL,LIMALC02,ALCOHOL ETILICO
2789,1390016,ALAMBRE DE ACERO GALVANIZADO,KG,1390016,ALAMBRE DE ACERO GALVANIZADO
10896,1,AJUSTE,PZA,1,Prueba
2309,LIM063,AJAX,PZA,LIM036,PASTILLA CON RED PARA MINGITORIO
3398,AGU-24,AGUA PURIFICADA 500 ML P/24,PAQ,AGU-24,AGUA PURIFICADA 500 ML P/24
327,AGU-330,AGUA PURIFICADA 330 ml C/12,PAQ,AGU-330,AGUA PURIFICADA 330 ml C/12
1200,AGA-2020,AGUA NATURAL 500ML P/40,PAQ,AGA-2020,AGUA NATURAL 500ML P/40
8806,AGU-D,AGUA DESTILADA,GAL,AGU-D,AGUA DESTILADA
6895,ADP-WIFI,ADAPTADOR WIFI USB,PZA,ADP-WIFI,ADAPTADOR WIFI USB
31,LIMASCI01,ACIDO MURIATICO JUST CLEAR,GAL,LIMASCI01,ACIDO MURIATICO JUST CLEAR
4164,LIM-ACI-3,ACIDO MURIATICO CONCENTRADO,BID,LIM-ACI-3,ACIDO MURIATICO CONCENTRADO
2199,ACT-2020,ACEITE REGULAR,PZA,ACT-2020,ACEITE REGULAR
89,LIMACE01,ACEITE PARA MOPA DUST MOP CEREZA ONE CLEANER,GAL,LIMACE01,ACEITE PARA MOPA DUST MOP CEREZA ONE CLEANER
4661,LIMACE03,ACEITE PARA MOPA DUST MOP CEREZA 20 LTS,BID,LIMACE03,ACEITE PARA MOPA DUST MOP CEREZA 20 LTS
550,WD-10110,ACEITE LUBRICANTE WD-40 1 GALON,PZA,WD-10110,ACEITE LUBRICANTE WD-40 1 GALON
35,NAEH009,ABRINTALLADOR DE MADERA WIESE,PZA,NAEH009,ABRINTALLADOR DE MADERA WIESE
6889,44232,ABRAZADERAS REFORZADAS DE ACERO INOXIDABLE 3/8 P/10PZ,PAQ,44232,ABRAZADERAS REFORZADAS DE ACERO INOXIDABLE 3/8 P/10PZ
6888,44231,ABRAZADERA REFORZADAS DE ACERINOXIDABLE,PZA,13342,BROCHA 1  MANGO DE MADERA
6890,44236,ABRAZADERA REFORZADA GRANDE,PZA,44236,ABRAZADERA REFORZADA GRANDE
8692,LDPE-001,'2645 G LINEAL DE BAJA DENSIDAD CON ADITIVO,KG,LDPE-010,PELETIZADO MULTICOLOR RECICLADO DE BAJA DENSIDAD
